Name	Set	Card	Type	Level	Logo	Rarity	Text	PT-BR
Tower of High Sorcery	Dragonlance	119	Rule		DL	VR	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. All wizards gain 4 levels. 	Jogado no inicio do turno do jogador, este cartao nao e descartada. Ela afeta todos os jogadores e permanece em vigor ate que qualquer outro cartao regra e jogado. Todos os magos ganhar 4 niveis.
Blessing of the Gods	Dragonlance	120	Rule		DL	VR	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. The gods grant that all undead opposing clerics are instantly destroyed. 	Jogado no inicio do turno do jogador, este cartao nao e descartada. Ela afeta todos os jogadores e permanece em vigor ate que qualquer outro cartao regra e jogado. Que os deuses permitam que todos os clerigos opostas mortos-vivos sao instantaneamente destruido.
Age of Dreams	Dragonlance	121	Rule		DL	VR	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. All monsters are immune to defensive spells and walls. 	Jogado no inicio do turno do jogador, este cartao nao e descartada. Ela afeta todos os jogadores e permanece em vigor ate que qualquer outro cartao regra e jogado. Todos os monstros sao imunes a feiticos de defesa e paredes.
Golden Age, The	Dragonlance	122	Rule		DL	VR	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Heroes who draw spoils of war draw two cards; the first can be treated normally, the second can only be held or discarded. 	Jogado no inicio do turno do jogador, este cartao nao e descartada. Ela afeta todos os jogadores e permanece em vigor ate que qualquer outro cartao regra e jogado. Herois que desenham despojos de guerra desenhar dois cartoes; a primeira pode ser tratado normalmente, o segundo so pode ser realizada ou descartado.
Haste Spell	Dragonlance	123	Wizard Spell		AD&D2	VR	For one round, the champion's original level (printed on the card) is doubled. (Def/4) 	Por uma rodada, nivel original do campeao (impresso no cartao) e dobrada. (Def / 4)
Flute of Wind Dancing	Dragonlance	124	Magical Item	1	AD&D2	VR	The attached champion and all allies become swimmers able to attack any realm with a visible coastline, regardless of the realm's position in the formation. (Def) 	O campeao em anexo e todos os aliados se tornar nadadores capaz de atacar qualquer area com um litoral visivel, independentemente da posicao do reino na formacao. (Def)
Medallion of Faith	Dragonlance	125	Artifact		DL	VR	The attached champion can cast cleric spells. The player draws one extra card per turn and increases maximum hand size by 1. 	O campeao em anexo pode lancar magias de clerigo. O jogador tira uma carta extra por turno e aumenta o tamanho maximo de mao por 1.
Barovia	Ravenloft	001	Realm		RV	UC	Defending champion can cast wizard spells and can discard one enemy ally each round. 	O atual campeao pode lancar magias mago e pode descartar um inimigo aliado cada rodada.
Darkon	Ravenloft	002	Realm		RV	R	In a victorious defense, a maximum of one ally remains with the realm card and becomes undead. 	Em uma defesa vitoriosa, um maximo de um aliado permanece com o cartao reino e se torna mortos-vivos.
Lamordia	Ravenloft	003	Realm		RV	C	Coast. 	Costa.
Mordent	Ravenloft	004	Realm		RV	C	Coast. 	Costa.
Kartakass	Ravenloft	005	Realm		RV	C	Werebeast champions and allies cannot attack this realm. 	campeoes Werebeast e aliados nao pode atacar este reino.
Keening	Ravenloft	006	Realm		RV	UC	Each round Keening is attacked, one living enemy ally is discarded. 	Cada Keening rodada e atacado, um inimigo de estar aliado e descartado.
Tepest	Ravenloft	007	Realm		RV	C	If razed in combat, look at top six cards of opponent's deck. Place one at the bottom of his draw pile. 	Se arrasada em combate, olhe para cima seis cartas de baralho do adversario. Coloque um na parte inferior do seu baralho.
Verbrek	Ravenloft	008	Realm	3	RV	C	Wolves are a +3 ally to defending champions. 	Os lobos sao um aliado +3 para o atual campeao.
Invidia	Ravenloft	009	Realm		RV	R	If razed in combat, draw two cards at random from attacker's hand and discard them. 	Se arrasada em combate, tirar duas cartas aleatoriamente da mao de atacante e descarta-las.
Nova Vaasa	Ravenloft	010	Realm		RV	C		
Dementlieu	Ravenloft	011	Realm		RV	UC	Defender can change the attacking champion to any other champion in the attacker's pool. Coast. 	Defender pode alterar o campeao atacando a qualquer outro campeao na piscina do atacante. Costa.
Valachan	Ravenloft	012	Realm	5	RV	C	Can defend itself as a level 5 undead champion (vampire). 	Pode defender-se como um campeao mortos-vivos nivel 5 (vampiro).
Har'Akir	Ravenloft	013	Realm		RV	C	Cleric spells lose 2 levels when attacking Har' Akir. 	feiticos de clerigo perder 2 niveis quando atacando Har' Akir.
Souragne	Ravenloft	014	Realm		RV	C	Coast. 	Costa.
Sri Raji	Ravenloft	015	Realm		RV	UC	Only champions with an unmodified level of 6 or higher can attack this realm. 	Somente formando com um nivel nao modificada de 6 ou superior pode atacar este dominio.
Castle Ravenloft	Ravenloft	016	Holding		RV	R	The attached realm and its defenders are immune to all offensive spells. 	O reino em anexo e seus defensores sao imunes a todas as magias ofensivas.
Azalin's Graveyard	Ravenloft	017	Holding	6	RV	R	Can call upon a +6 zombie horde as an ally to defend the attached realm for one round per battle. 	Pode recorrer a um +6 zombie horde como um aliado para defender o reino unido por uma rodada por batalha.
Kargat Mausoleum	Ravenloft	018	Holding	4	RV	C	The attached realm can defend itself as a level 4 undead champion (vampire). 	O reino unido pode se defender como um campeao mortos-vivos nivel 4 (vampiro).
Paridon	Ravenloft	019	Holding		RV	UC	If the attached realm is attacked, a doppleganger imitates any one of the attacker's allies each round. 	Se o reino unido e atacado, um doppleganger imita qualquer um dos aliados do atacante a cada rodada.
Pharaoh's Rest	Ravenloft	020	Holding		RV	C	The power of the ancients subtracts 3 levels from champions attacking the attached realm. 	A potência dos antigos subtrai 3 niveis de formando atacando o reino unido.
Mists	Ravenloft	021	Event		AD&D2	C	All players can rearrange their realms and holdings. Helpful. 	Todos os jogadores podem reorganizar seus reinos e participacoes. Ajuda.
Dark Powers	Ravenloft	022	Event		AD&D2	UC	All players shuffle their discard piles and place on top of their decks. Harmful. 	Todos os jogadores embaralham suas pilhas de descarte e coloque em cima de seus decks. Prejudicial.
Grand Conjunction	Ravenloft	023	Event		AD&D2	C	All champions can attack any realm, regardless of its position, until the end of this player's next turn. Helpful. 	Todos os campeoes podem atacar qualquer area, independentemente da sua posicao, ate o final do proximo turno deste jogador. Ajuda.
Harvest Moon	Ravenloft	024	Event		AD&D2	R	Double the level of all werebeasts and undead until the end of this player's next turn. Helpful. 	Dobrar o nivel de todos werebeasts e mortos-vivos ate o final do proximo turno deste jogador. Ajuda.
All Hallow's Eve	Ravenloft	025	Event		AD&D2	C	All monster champions gain 3 levels until the end of this player's next turn. Helpful. 	Todos os campeoes monstro ganhar 3 niveis ate o final do proximo turno deste jogador. Ajuda.
Quirk of Fate	Ravenloft	026	Event		AD&D2	R	All champions use the first digit of their card number for their level until the end of this player's next turn. Harmful. 	Todos os campeoes usar o primeiro digito do seu número de cartao para o seu nivel ate o final do proximo turno deste jogador. Prejudicial.
Disrupted Magic	Ravenloft	027	Event		AD&D2	C	Champions that can cast wizard spells now can cast only cleric spells and vice versa, until the end of this player's next turn. Harmful. 	Campeoes que podem lancar feiticos mago agora pode lancar magias única clerigo e vice-versa, ate o final do proximo turno deste jogador. Prejudicial.
Power of the Land	Ravenloft	028	Event		AD&D2	UC	All champions gain 1 level for each Ravenloft realm and holding in their player's control until the end of this player's next turn. Helpful. 	Todos os campeoes ganhar 1 nivel para cada reino Ravenloft e segurando no controle de seu jogador ate o final do proximo turno deste jogador. Ajuda.
Spell Book of Drawmij	Ravenloft	029	Rule		GH	R	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Victorious Greyhawk champions may keep one spell used that round that they can cast normally when they return to the pool. The spell is automatically cast again the next time that champion fights. Any dispel magic card can be used to remove the spell. 	Jogado no inicio do turno do jogador, este cartao nao e descartada. Ela afeta todos os jogadores e permanece em vigor ate que qualquer outro cartao regra e jogado. campeoes Greyhawk vitoriosos pode manter um feitico usado aquela rodada que pode lancar normalmente quando eles retornam para a piscina. O feitico e automaticamente lancado novamente na proxima vez que as lutas campeao. Qualquer cartao de dissipar magia pode ser usado para remover o feitico.
City States	Ravenloft	030	Rule		DS	R	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. One Dark Sun holding can be counted as a realm for the purpose of victory conditions. 	Jogado no inicio do turno do jogador, este cartao nao e descartada. Ela afeta todos os jogadores e permanece em vigor ate que qualquer outro cartao regra e jogado. Uma realizacao Dark Sun pode ser contado como um reino com a finalidade de condicoes de vitoria.
Islands of Terror	Ravenloft	031	Rule		RV	R	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Play Ravenloft realms face down, but vertically. (Holdings are still face up, as are other realms.) Reveal the realm only when it is attacked. If one of his Ravenloft realms is razed, the player can rearrange all his Ravenloft realms. 	Jogado no inicio do turno do jogador, este cartao nao e descartada. Ela afeta todos os jogadores e permanece em vigor ate que qualquer outro cartao regra e jogado. Jogar reinos Ravenloft face para baixo, mas verticalmente. (Holdings ainda estao viradas para cima, assim como os outros reinos.) Revelar o reino somente quando ele e atacado. Se um de seus reinos Ravenloft esta arrasada, o jogador pode reorganizar todos os reinos sua Ravenloft.
Eyes of the Undead	Ravenloft	032	Cleric Spell		AD&D2	C	If an opponent has an undead champion or ally, player can look at the opponent's hand. (Def/4) 	Se um adversario tem um campeao mortos-vivos ou aliado, o jogador pode olhar para a mao do oponente. (Def / 4)
Living Ward	Ravenloft	033	Cleric Spell		AD&D2	UC	All of the opponent's living allies (not undead) in play are discarded. (Off/4) 	Todos os aliados de vida do adversario (nao mortos-vivos) em jogo sao descartados. (Off / 4)
Binding Curse	Ravenloft	034	Cleric Spell		AD&D2	C	If defeated, this champion can curse its opponent to lose 3 levels until a dispel magic removes this card. (Off/4) 	Se derrotado, este campeao pode amaldicoar sua oponente a perder 3 niveis ate um dissipar magia remove este cartao. (Off / 4)
Conjure Grave Elemental	Ravenloft	035	Cleric Spell	8	AD&D2	R	Casting this spell creates a +8 ally for the duration of the round. (Off/4) 	Lancar esta magia cria um aliado +8 para a duracao da rodada. (Off / 4)
Animate Rock	Ravenloft	036	Cleric Spell	6	AD&D2	UC	(Off/4) 	(Off / 4)
Word of Recall	Ravenloft	037	Cleric Spell		AD&D2	C	Pick one opposing ally card and discard it. (Off/4) 	Escolha uma oposicao cartao aliado e descarta-lo. (Off / 4)
Glyph of Warding	Ravenloft	038	Cleric Spell		AD&D2	C	All opposing allies lose 1 level. (Off/4) 	Todos os aliados de oposicao perdem 1 nivel. (Off / 4)
Call Lightning	Ravenloft	039	Cleric Spell	4	AD&D2	C	(Off/4) 	(Off / 4)
Prayer	Ravenloft	040	Cleric Spell		AD&D2	C	This champion's allies all gain 2 levels. (Def/4) 	aliados deste campeao todos ganham 2 niveis. (Def / 4)
Turn Undead	Ravenloft	041	Cleric Spell		AD&D2	UC	All undead enemy allies with levels equal to or less than the champion must be discarded. (Off/4) 	Todos os aliados mortos-vivos inimigos com niveis igual ou menor do que o campeao deve ser descartado. (Off / 4)
Imbue with Spell Ability	Ravenloft	042	Cleric Spell		AD&D2	C	A cleric in a player's pool can cast this on any champion, allowing him to cast cleric spells for this round. (Def/3) 	Um clerigo na piscina de um jogador pode lancar isso em qualquer campeao, permitindo-lhe lancar feiticos de clerigo para esta rodada. (Def / 3)
Insect Plague	Ravenloft	043	Cleric Spell	5	AD&D2	C	(Off/4) 	(Off / 4)
Plane Shift	Ravenloft	044	Cleric Spell		AD&D2	R	Player can substitute any unrazed realm's power, but not its attached holding, for this round. (Off/4) 	O jogador pode substituir o poder de qualquer reino unrazed, mas nao a sua anexado segurando, para esta rodada. (Off / 4)
Heal	Ravenloft	045	Cleric Spell		AD&D2	R	Player may retrieve any champion or ally from his discard pile and return to his hand. (Def/3) 	Jogador pode recuperar qualquer campeao ou aliado de sua pilha de descarte e retornar para sua mao. (Def / 3)
Shadow Magic	Ravenloft	046	Wizard Spell	3	AD&D2	C	(Off/4) 	(Off / 4)
Shades	Ravenloft	047	Wizard Spell	4	AD&D2	C	Casting this spell creates a +4 ally. (Def/4) 	Lancar esta magia cria uma +4 aliado. (Def / 4)
Vampiric Touch	Ravenloft	048	Wizard Spell	5	AD&D2	C	Has no effect on undead champions. (Off/4) 	Nao tem efeito sobre campeoes mortos-vivos. (Off / 4)
Hold Person	Ravenloft	049	Wizard Spell		AD&D2	R	Reduces opposing champion's level to 0 for this round. (Off/4) 	Reduz opondo nivel de campeao para 0 para esta rodada. (Off / 4)
Detect Magic	Ravenloft	050	Wizard Spell		AD&D2	UC	Opponent lays all spells and magical items in his hand face up on the table for this round. (Off/4) 	Oponente estabelece todas as magias e itens magicos em sua face mao em cima da mesa para esta rodada. (Off / 4)
Augment Undead	Ravenloft	051	Wizard Spell		AD&D2	C	Undead champions and allies gain 2 levels for this round. (Def/4) 	campeoes mortos-vivos e aliados ganham 2 niveis para esta rodada. (Def / 4)
Strahd's Malefic Meld	Ravenloft	052	Wizard Spell		AD&D2	UC	Multiply the levels of the two weakest allies and add to the total. If only one ally is present, it is now a 0. (Def/4) 	Multiplicar os niveis dos dois aliados mais fracos e adicionar ao total. Se apenas um aliado esta presente, e agora um 0. (Def / 4)
Misty Summons	Ravenloft	053	Wizard Spell		AD&D2	R	From any pool, use a champion (level only) not immune to spells as an ally. Win or lose, champion is returned to its pool. (Def/4) 	A partir de qualquer piscina, use um campeao (somente nivel) nao e imune a magias como um aliado. Ganhar ou perder, o campeao e devolvido à sua piscina. (Def / 4)
Neverending Nightmare	Ravenloft	054	Wizard Spell		AD&D2	C	Player adds 1 level to this champion for each realm and holding he has in play. (Def/4) 	Jogador adiciona um nivel para este campeao para cada reino e segurando ele tem em jogo. (Def / 4)
Chill Touch	Ravenloft	055	Wizard Spell	3	AD&D2	C	Does not affect undead monsters. (Off/4) 	nao afeta monstros mortos-vivos. (Off / 4)
Tarokka Deck	Ravenloft	056	Magical Item		AD&D2	UC	When used in battle, the player may look at the top six cards of his opponent's deck and discard one. (Def) (Off) 	Quando usado em batalha, o jogador pode olhar para os seis primeiros cards do deck do seu oponente e um descarte. (Def) (Off)
Timepiece of Klorr	Ravenloft	057	Magical Item		AD&D2	R	If victorious, this champion may make one extra attack on the same realm before being put in his pool. (Def) 	Se vitorioso, este campeao pode fazer um ataque extra no mesmo dominio antes de ser colocado em sua piscina. (Def)
Ring of Regeneration	Ravenloft	058	Magical Item		AD&D2	UC	If this champion is defeated, he is returned to his pool at the end of the player's next turn. (Def) 	Se este campeao e derrotado, ele e devolvido à sua piscina no final do proximo turno do jogador. (Def)
Sun Sword	Ravenloft	059	Magical Item	2	AD&D2	C	The sword becomes +5 if the opposing champion is undead. (Off) Sword. 	A espada se torna +5 se o campeao adversario e morto-vivo. (Off) Sword.
Blood Coin	Ravenloft	060	Magical Item		AD&D2	C	If defeated, put card on opponent's champion. Opponent's hand size is reduced by one until dispel magic is cast or the new owner is defeated. (Off) 	Se derrotado, colocar o cartao no campeao do oponente. tamanho da mao do oponente e reduzido a um ate dissipar magia e lancado ou o novo proprietario e derrotado. (Off)
Staff of Mimicry	Ravenloft	061	Magical Item		AD&D2	UC	Imitates one magical item attached to any other champion in this player's pool. (Def) 	Imita um item magico ligado a qualquer outro campeao na piscina este jogador. (Def)
Soul Searcher Medal	Ravenloft	062	Magical Item		AD&D2	C	Before combat, the player can look at one other player's hand. If used, the attached champion cannot attack this turn. (Def) 	Antes do combate, o jogador pode olhar para a mao um outro jogador. Se usado, o campeao anexado nao pode atacar neste turno. (Def)
Ring of Reversion	Ravenloft	063	Magical Item		AD&D2	UC	The opposing champion cannot use his power or cast spells. (Off) 	O campeao oposicao nao pode usar seus feiticos de energia ou elenco. (Off)
Amulet of the Beast	Ravenloft	064	Magical Item		AD&D2	C	Used in combat, one enemy ally (except undead) is turned into a werebeast, causing him to switch sides. (Off) 	Usado em combate, um inimigo aliado (exceto mortos-vivos) e transformado em um werebeast, fazendo com que os lados do interruptor. (Off)
Cat of Felkovic	Ravenloft	065	Magical Item		AD&D2	C	If victorious, champion keeps up to six ally cards face down with it. These are dead allies; however, champion gains 1 level for each card. (Off) 	Se vitorioso, campeao mantem ate seis aliado cartas viradas para baixo com ele. Estes sao aliados mortos; No entanto, o campeao ganha 1 nivel para cada cartao. (Off)
Apparatus	Ravenloft	066	Artifact		RV	R	Player borrows any champion (level only) from any pool as an ally. Win or lose, champion is returned to its pool. 	Jogador empresta qualquer campeao (somente nivel) a partir de qualquer piscina como um aliado. Ganhar ou perder, o campeao e devolvido à sua piscina.
Crown of Souls	Ravenloft	067	Artifact		RV	R	When used to attack, defender's realm power (but not attached holding) is ignored. 	Quando utilizado para o ataque, o poder de defesa reino (mas nao de retencao ligado) e ignorada.
Holy Symbol of Ravenkind	Ravenloft	068	Artifact		RV	UC	Opponent cannot use undead champions or allies. OR card can be discarded to force Strahd to be discarded permanently. 	Adversario nao pode usar campeoes mortos-vivos ou aliados. OU cartao pode ser descartado para forcar Strahd de ser descartados de forma permanente.
Tapestry of Dark Souls	Ravenloft	069	Artifact		RV	UC	When used in combat, opponent can have only one ally. Any extras are discarded. 	Quando usado em combate, o oponente pode ter apenas um aliado. Qualquer extras sao descartados.
Fang of the Nosferatu	Ravenloft	070	Artifact		RV	R	Attached champion can substitute the powers of any champion from any pool other than its own. 	campeao anexado podem substituir os poderes de qualquer campeao de qualquer associacao que nao seja o seu proprio.
Kargat Vampire	Ravenloft	071	Ally	5	AD&D2	C	Flyer. Undead. Becomes +7 if defending a realm with a mausoleum or graveyard holding. 	Folheto. Morto-vivo. Torna-se +7 se defender um reino com um mausoleu ou na exploracao cemiterio.
Wolf Pack	Ravenloft	072	Ally	4	AD&D2	C		
Flesh Golem	Ravenloft	073	Ally	5	AD&D2	UC	Rips magical items from its opponent, who must discard all attached magical items. 	Rasga itens magicos de seu oponente, que deve descartar todos os itens magicos ligados.
Ghost Ship	Ravenloft	074	Ally	1	AD&D2	R	Champion and allies become flyers. When attacking, can switch attack to a different realm. 	Campeao e aliados se tornar folhetos. Ao atacar, pode alternar ataque a um reino diferente.
Strahd Zombies	Ravenloft	075	Ally	4	AD&D2	C	Undead. 	Morto-vivo.
Fiend	Ravenloft	076	Ally	6	AD&D2	R	Flyer. Opposing clerics lose 3 levels against this ally. 	Folheto. clerigos opostas perder 3 niveis contra esse aliado.
Spectre	Ravenloft	077	Ally	4	AD&D2	UC	Flyer. Undead. All enemy champions and allies (except undead) lose 1 level when opposing this ally. 	Folheto. Morto-vivo. Todos os campeoes inimigos e aliados (exceto mortos-vivos) perde 1 nivel quando oposicao a esse aliado.
Vistani	Ravenloft	078	Ally	1	AD&D2	C	If opposing champion is victorious, he loses his power until dispel magic is cast on him. Keep this card with the champion. 	Se campeao oposicao e vitorioso, ele perde o seu poder ate dissipar magia e lancada sobre ele. Mantenha este cartao com o campeao.
Loup-garou	Ravenloft	079	Ally	2	AD&D2	UC	Werebeast. Opposing champion is automatically defeated unless he has or can play a magical item. 	Werebeast. campeao adversario e automaticamente derrotou a menos que ele tem ou pode ter um objeto magico.
Werebat	Ravenloft	080	Ally	3	AD&D2	C	Flyer. Werebeast. 	Folheto. Werebeast.
Mysterious Stranger	Ravenloft	081	Hero	3	RV	C	One card from this player's hand is kept hidden under this one. Use it in his next battle, then hide a new card. 	Uma carta da mao deste jogador e mantido escondido sob este. Usa-lo em sua proxima batalha, em seguida, esconder um novo cartao.
Azalin	Ravenloft	082	Monster	8	RV	R	Undead. Casts wizard spells. If victorious in battle, takes one ally with him into the pool. 	Morto-vivo. Elencos bruxo feiticos. Se vitorioso na batalha, leva um aliado com ele na piscina.
Adam	Ravenloft	083	Monster	7	RV	R	Immune to all offensive spells and magical items. 	Imune a todas as magias ofensivas e itens magicos.
Ankhtepot	Ravenloft	084	Monster	7	RV	UC	Undead. Casts cleric spells. Ignores the effects of opposing holdings. 	Morto-vivo. Lanca feiticos de clerigo. Ignora os efeitos de exploracoes opostas.
Ireena Kolyana	Ravenloft	085	Hero	3	RV	C	Level 5 vs. undead. If facing Strahd, he returns to his pool; that player must select another champion or lose the battle. 	Nivel 5 contra mortos-vivos. Se enfrentando Strahd, ele retorna à sua piscina; esse jogador deve selecionar outro campeao ou perder a batalha.
Dr. Rudolph Van Richten	Ravenloft	086	Hero	3	RV	C	Opponent must lay his hand face up for this round. Level 6 vs. any Ravenloft champion. 	Adversario deve colocar seu rosto mao para cima para esta rodada. Nivel 6 vs. qualquer campeao Ravenloft.
Harkon Lukas	Ravenloft	087	Monster	5	RV	UC	Werebeast. When in combat, he picks one magical item, artifact, spell, or ally of the opponent to be discarded. 	Werebeast. Quando em combate, ele pega um item magico, artefato, soletrar, ou aliado do oponente a ser descartado.
Headless Horseman	Ravenloft	088	Monster	4	RV	R	Flyer. If attacking, it can choose to automatically win the round, but card must then be discarded. Undead. 	Folheto. Se atacar, ele pode optar por ganhar automaticamente a rodada, mas o cartao deve entao ser descartada. Morto-vivo.
Arijani	Ravenloft	089	Monster	6	RV	UC	When attacking, picks which champion from his opponent's pool will face him. 	Ao atacar, picaretas que campeao da piscina do seu oponente ira enfrenta-lo.
Wilfred Godefroy	Ravenloft	090	Monster	4	RV	C	Undead. Flyer. Any undead allies gain 2 levels. 	Morto-vivo. Folheto. Quaisquer aliados mortos-vivos ganham 2 niveis.
Tiyet	Ravenloft	091	Monster	5	RV	C	Undead. Casts cleric spells. 	Morto-vivo. Lanca feiticos de clerigo.
Sir Hiregaard	Ravenloft	092	Hero	2	RV	C	When defending, he turns into a level 6 monster. 	Ao defender, ele se transforma em um monstro de nivel 6.
Gabrielle Aderre	Ravenloft	093	Wizard	3	RV	C	If defeated, looks at opponent's hand and places one card on the bottom of that player's draw pile. 	Se derrotado, olha para a mao do oponente e coloca uma placa na parte inferior do monte de compra desse jogador.
Hags of Tepest	Ravenloft	094	Monster	4	RV	C	Cast wizard spells. When in combat, player can take one wizard spell from his deck and play it. Reshuffle the deck. 	magias arcanas elenco. Quando em combate, o jogador pode tomar um mago feitico de sua plataforma e reproduzi-lo. Reposicionar o baralho.
Sir Edmund Bloodsworth	Ravenloft	095	Monster	2	RV	C	Doppleganger. Imitates the level or power of his opponent, but not both. Uses power second (after opponent). 	Sosia. Imita o nivel ou o poder de seu oponente, mas nao ambos. segundo usos potência (apos oponente).
High Master Illithid	Ravenloft	096	Monster	8	RV	UC	Can look at opponent's hand after declaring which realm he is attacking. 	Pode olhar para a mao do oponente depois de declarar que reino ele esta atacando.
Dr. Mordenheim	Ravenloft	097	Hero	1	RV	C	Can use one ally card from his discard deck. 	Pode usar um cartao de aliado de seu baralho de descarte.
Sergei Von Zarovich	Ravenloft	098	Hero	6	RV	C	Undead. Sergei is immune to all event cards, even beneficial ones. 	Morto-vivo. Sergei e imune a todas as placas de eventos, mesmo os mais beneficos.
Lord Soth	Ravenloft	099	Monster	7	RV	R	Immune to offensive wizard spells. Opposing Dragonlance champions cannot use their powers. Undead. 	Imune a magias mago ofensivos. Opostos campeoes Dragonlance nao pode usar seus poderes. Morto-vivo.
Strahd Von Zarovich	Ravenloft	100	Monster	9	RV	R	Flyer. Undead. Casts wizard spells. If defeated in combat and no other Strahd is in play, he returns to his pool at the end of player's next turn. 	Folheto. Morto-vivo. Elencos bruxo feiticos. Se derrotado em combate e nenhum outro Strahd esta em jogo, ele retorna à sua piscina no final do proximo turno do jogador.
Tarrasque	Forgotten	001	Event		AD&D2	UC	Play on a realm. The victim may discard his pool to discard the tarrasque. If he discards nothing, the realm is razed and he plays the event on another player's realm continuing the cycle. (Discard if no realms remain.) Harmful. 	Jogar em um reino. A vitima pode descartar sua piscina para descartar a tarrasque. Se ele descarta nada, o reino esta arrasada e ele joga o evento em continuar o ciclo de dominio de outro jogador. (Rejeitar se nao reinos permanecem.) Nocivo.
Black Bess	Forgotten	002	Event		AD&D2	R	Each player must draw and discard a card, checking the last digit of its number. Discard all the player's champions in play whose unadjusted level is greater than this number. Harmful. 	Cada jogador deve desenhar e descartar um cartao, verificando o último digito do seu número. Descarte todos os campeoes do jogador em jogo cujo nivel nao ajustada e maior do que esse número. Prejudicial.
Caer Allison	Forgotten	003	Event		AD&D2	R	May be played as a temporary realm at any time. (Only one can be in play at any time.) At the end of the owner's next turn, this card must be discarded. Helpful. 	Pode ser jogado como um reino temporaria a qualquer momento. (So se pode estar em jogo a qualquer momento.) No final do proximo turno do proprietario, este cartao deve ser descartado. Ajuda.
Curse of the Azure Bonds	Forgotten	004	Event		AD&D2	R	Control any one enemy champion until the end of your next turn, treating it as a champion from your own pool. Return it to the owning player's pool or discard pile, as appropriate. Harmful. 	Controlar qualquer campeao um inimigo ate o final do seu proximo turno, tratando-o como um campeao de sua propria piscina. Devolvê-lo à piscina ou descarte pilha do jogador possuir, conforme o caso. Prejudicial.
Cyrinishad	Forgotten	005	Event		AD&D2	R	Until the end of this player's next turn, no priest spells may be cast. Only Cyric is immune to this effect. Harmful. 	Ate o final do proximo turno deste jogador, nenhuma magica padre pode ser lancado. Apenas Cyric e imune a este efeito. Prejudicial.
Darkwalker War	Forgotten	006	Event		AD&D2	UC	Draw and discard a card, noting the last digit of its number. Until the end of your current turn, all monsters and undead gain a number of bonus levels equal to that digit. Helpful.	Desenhar e descartar uma carta, observando o último digito do seu número. Ate o final do seu turno atual, todos os monstros e mortos-vivos ganhar uma serie de niveis de bonus igual ao digito. Ajuda.
Dead Magic Zone	Forgotten	007	Event		AD&D2	UC	Until the end of this player's next turn, no spells may be cast, and all artifacts and magic items are ignored. Harmful. 	Ate o final do proximo turno deste jogador, nenhuma magica pode ser lancado, e todos os artefatos e itens magicos sao ignorados. Prejudicial.
Horde	Forgotten	008	Event		AD&D2	C	Each player must immediately raze one of his own realms or discard two champions from his pool and/or hand. Harmful. 	Cada jogador deve destruir imediatamente um de seus proprios reinos ou descartar dois campeoes de sua piscina e / ou mao. Prejudicial.
Lady Luck	Forgotten	009	Event		AD&D2	R	The player and one opponent each draw a card and compare card numbers. Discard the card with the lower last digit; play the other immediately or keep it in hand. Ties are both played (discard both if identical). Harmful. 	O jogador e um oponente de cada sorteio um cartao e comparar números de cartao. Descarte o cartao com o último digito inferior; jogar o outro imediatamente ou mantê-lo na mao. Os lacos sao ambos jogaram (descarte tanto se forem idênticas). Prejudicial.
Wild Magic Surge	Forgotten	010	Event		AD&D2	R	Play at the end of any other player's turn. The order of play immediately reverses (clockwise to counter-clockwise, and vice versa). Harmful. 	Jogar no final do turno de qualquer outro jogador. A ordem de jogada inverte imediatamente (no sentido horario para anti-horario, e vice-versa). Prejudicial.
Coral Kingdom, The	Forgotten	011	Realm		FR	C	This realm can be attacked only by swimmers. 	Este reino pode ser atacado apenas por nadadores.
Halruaa	Forgotten	012	Realm		FR	C	All wizards defending this realm gain 2 levels. Any champion defending this realm may cast wizard spells. Coast. 	Todos os magos defender este ganho reino 2 niveis. Qualquer campeao neste reino pode lancar magias mago. Costa.
Kozakura	Forgotten	013	Realm		FR	C	This realm can be attacked only by flyers or swimmers. Coast. 	Este reino pode ser atacado apenas por panfletos ou nadadores. Costa.
Luiren	Forgotten	014	Realm		FR	C	All halfling champions and allies gain +3 when defending this realm. Coast. 	Todos os campeoes halflings e aliados ganham +3 ao defender este reino. Costa.
Maztica	Forgotten	015	Realm		FR	C	When this realm is first played, no heroes of level 6 or higher may attack or defend until the beginning of this player's next turn. Coast. 	Quando este reino e jogado em primeiro lugar, ha herois de nivel 6 ou superior pode atacar ou defender ate o inicio do proximo turno deste jogador. Costa.
Mulhorand	Forgotten	016	Realm		FR	C	Any champion defending this realm may cast wizard spells. Clerics defending the realm gain +2 levels. Coast. 	Qualquer campeao neste reino pode lancar magias mago. Clerigos defendem o ganho reino +2 niveis. Costa.
Raurin	Forgotten	017	Realm		FR	C	If this realm is razed, the attacking champion must be discarded. 	Se este reino esta arrasada, o campeao atacando deve ser descartado.
